DIM,Task,APPROVAL,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0276,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,120.75,126,120,116.25,120.75,105,105,115.5,110.25,0,0,0,0,0,0,0
Remaining,,,44.25,31.5,30,33.75,51.75,45,45,49.5,47.25,172.5,165,157.5,165,150,157.5,150
EMP_0669,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,63.6,90.67,84,34.5,20.4,15,15,16.5,0,0,0,0,0,0,0,0
Remaining,,,101.4,66.83,66,115.5,152.1,135,135,148.5,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0604,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0274,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,52.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,165,157.5,150,150,172.5,120,165,181.5,0,0,0,0,0,0,0,0
Remaining,,,0,-105,0,0,0,30,-15,-16.5,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0189,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
EMP_0795,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,142.5,141.75,133.5,105,222.53,193.5,165,181.5,173.25,51.75,49.5,47.25,42.75,0,0,0
Remaining,,,22.5,15.75,16.5,45,-50.03,-43.5,-15,-16.5,-15.75,120.75,115.5,110.25,122.25,150,157.5,150
EMP_0732,,,,,,,,,,,,,,,,,,
Contracted Hours,,,0,0,0,150,172.5,120,0,0,0,0,0,0,0,0,0,0
Allocated Hours,,,0,0,0,36,51.75,36,0,0,0,0,0,0,0,0,0,0
Remaining,,,0,0,0,114,120.75,84,0,0,0,0,0,0,0,0,0,0
EMP_0732,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,133.5,131.25,142.5,142.5,163.88,105,75,82.5,78.75,86.25,82.5,78.75,82.5,75,0,0
Remaining,,,31.5,26.25,7.5,7.5,8.63,45,75,82.5,78.75,86.25,82.5,78.75,82.5,75,157.5,150
EMP_0190,,,,,,,,,,,,,,,,,,
Contracted Hours,,,165,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
Allocated Hours,,,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remaining,,,151.5,157.5,150,150,172.5,150,150,165,157.5,172.5,165,157.5,165,150,157.5,150
